,team,fill,colour
1,Man City,#84BBFF,#FFFFFF
2,Liverpool,#D10022,#FFFFFF
3,Chelsea,#004793,#FFFFFF
4,Tottenham,#FFFFFF,#001C58
5,Arsenal,#EF0107,#FFFFFF
6,Man United,#D9020D,#FFFFFF
7,West Ham,#660033,#0099FF
8,Leicester,#0053A0,#FDBE11
9,Brighton,#0054A6,#FFFFFF
10,Wolves,#FDB913,#231F20
11,Newcastle,#000000,#FFFFFF
12,Crystal Palace,#1B458F,#C4122E
13,Brentford,#FF0000,#FFFFFF
14,Aston Villa,#670E36,#95BFE5
15,Southampton,#FF0033,#FFFFFF
16,Everton,#0052CC,#FFFFFF
17,Leeds,#FAF7F7,#FFE100
18,Burnley,#660808,#73E8F0
19,Watford,#FFF71C,#E3002D
20,Norwich,#009900,#FFFF00